BIN_FCSKU_DATA,EXPECTED_QUANTITY,filename,asin
"{'B00F908YU4': {'asin': 'B00F908YU4', 'height': {'unit': 'IN', 'value': 3.99999999592}, 'length': {'unit': 'IN', 'value': 5.799999994084}, 'name': '12Watt 4-inch High CRI Wet Location Dimmable Retrofit LED Recessed Lighting Fixture, Energy Star UL-classified 75W Equivalent Ceiling Light, 2700K Soft White 650lm Remodel Recessed Downlight', 'normalizedName': '12Watt 4-inch High CRI Wet Location Dimmable Retrofit LED Recessed Lighting Fixture, Energy Star UL-classified 75W Equivalent Ceiling Light, 2700K Soft White 650lm Remodel Recessed Downlight', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.6999999999999998}, 'width': {'unit': 'IN', 'value': 5.699999994186001}}, 'B00FMHPX62': {'asin': 'B00FMHPX62', 'height': {'unit': 'IN', 'value': 0.599999999388}, 'length': {'unit': 'IN', 'value': 6.099999993778}, 'name': 'DEWALT DWA4214 Oscillating Multi-Material Blade', 'normalizedName': 'DEWALT DWA4214 Oscillating Multi-Material Blade', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.15}, 'width': {'unit': 'IN', 'value': 4.599999995308}}}",2,00038.jpg,B00F908YU4
"{'B0073E3Q7A': {'asin': 'B0073E3Q7A', 'height': {'unit': 'IN', 'value': 0.49999999949}, 'length': {'unit': 'IN', 'value': 7.99999999184}, 'name': 'Lodge Manufacturing SCRAPERGPK Grill Pan Scraper, 2-Pack', 'normalizedName': '2-Pack Lodge Manufacturing SCRAPERGPK Grill Pan Scraper,', 'quantity': 7, 'weight': {'unit': 'pounds', 'value': 0.02}, 'width': {'unit': 'IN', 'value': 4.699999995206}}, 'B00PAXDQVM': {'asin': 'B00PAXDQVM', 'height': {'unit': 'IN', 'value': 1.199999998776}, 'length': {'unit': 'IN', 'value': 6.99999999286}, 'name': 'Revitalash Advanced Eyelash Conditioner 2.0 mL 0.068 oz', 'normalizedName': 'Revitalash Advanced Eyelash Conditioner 2.0 mL 0.068 oz', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.022046001186074866}, 'width': {'unit': 'IN', 'value': 1.3999999985719997}}}",8,00079.jpg,B0073E3Q7A
"{'B0073E3Q7A': {'asin': 'B0073E3Q7A', 'height': {'unit': 'IN', 'value': 0.49999999949}, 'length': {'unit': 'IN', 'value': 7.99999999184}, 'name': 'Lodge Manufacturing SCRAPERGPK Grill Pan Scraper, 2-Pack', 'normalizedName': '2-Pack Lodge Manufacturing SCRAPERGPK Grill Pan Scraper,', 'quantity': 7, 'weight': {'unit': 'pounds', 'value': 0.02}, 'width': {'unit': 'IN', 'value': 4.699999995206}}, 'B00ATZJ5YS': {'asin': 'B00ATZJ5YS', 'height': {'unit': 'IN', 'value': 1.8999999961239997}, 'length': {'unit': 'IN', 'value': 7.4999999847}, 'name': 'Belkin 3-Outlet SurgePlus Mini Travel Swivel Charger Surge Protector with Dual USB Ports (2.1 AMP / 10 Watt), BST300', 'normalizedName': 'Belkin 3-Outlet SurgePlus Mini Travel Swivel Charger Surge Protector with Dual USB Ports (2.1 AMP / 10 Watt), BST300', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.19999795820485744}, 'width': {'unit': 'IN', 'value': 4.9999999949}}, 'B00N6U92AA': {'asin': 'B00N6U92AA', 'height': {'unit': 'IN', 'value': 6.399999993472}, 'length': {'unit': 'IN', 'value': 9.49999999031}, 'name': 'Colgate Total Lasting White Mouthwash, 16.9 Fluid Ounce (Pack of 6)', 'normalizedName': '(Pack of 6) Colgate Total Lasting White Mouthwash, 16.9 Fluid Ounce', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 8.15}, 'width': {'unit': 'IN', 'value': 8.199999991636}}, 'B00PAXDQVM': {'asin': 'B00PAXDQVM', 'height': {'unit': 'IN', 'value': 1.199999998776}, 'length': {'unit': 'IN', 'value': 6.99999999286}, 'name': 'Revitalash Advanced Eyelash Conditioner 2.0 mL 0.068 oz', 'normalizedName': 'Revitalash Advanced Eyelash Conditioner 2.0 mL 0.068 oz', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.022046001186074866}, 'width': {'unit': 'IN', 'value': 1.3999999985719997}}}",10,00080.jpg,B0073E3Q7A
"{'B0073E3Q7A': {'asin': 'B0073E3Q7A', 'height': {'unit': 'IN', 'value': 0.49999999949}, 'length': {'unit': 'IN', 'value': 7.99999999184}, 'name': 'Lodge Manufacturing SCRAPERGPK Grill Pan Scraper, 2-Pack', 'normalizedName': '2-Pack Lodge Manufacturing SCRAPERGPK Grill Pan Scraper,', 'quantity': 7, 'weight': {'unit': 'pounds', 'value': 0.02}, 'width': {'unit': 'IN', 'value': 4.699999995206}}, 'B00ATZJ5YS': {'asin': 'B00ATZJ5YS', 'height': {'unit': 'IN', 'value': 1.8999999961239997}, 'length': {'unit': 'IN', 'value': 7.4999999847}, 'name': 'Belkin 3-Outlet SurgePlus Mini Travel Swivel Charger Surge Protector with Dual USB Ports (2.1 AMP / 10 Watt), BST300', 'normalizedName': 'Belkin 3-Outlet SurgePlus Mini Travel Swivel Charger Surge Protector with Dual USB Ports (2.1 AMP / 10 Watt), BST300', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.19999795820485744}, 'width': {'unit': 'IN', 'value': 4.9999999949}}, 'B00PAXDQVM': {'asin': 'B00PAXDQVM', 'height': {'unit': 'IN', 'value': 1.199999998776}, 'length': {'unit': 'IN', 'value': 6.99999999286}, 'name': 'Revitalash Advanced Eyelash Conditioner 2.0 mL 0.068 oz', 'normalizedName': 'Revitalash Advanced Eyelash Conditioner 2.0 mL 0.068 oz', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.022046001186074866}, 'width': {'unit': 'IN', 'value': 1.3999999985719997}}}",9,00081.jpg,B0073E3Q7A
"{'B001MKR4Y2': {'asin': 'B001MKR4Y2', 'height': {'unit': 'IN', 'value': 0.49999999949}, 'length': {'unit': 'IN', 'value': 17.399999982252}, 'name': 'Johnson Rose Wooden Spoon, 18 Inch Long - 1 Each', 'normalizedName': 'Johnson Rose Wooden Spoon, 18 Inch Long - 1 Each', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.09999999991614096}, 'width': {'unit': 'IN', 'value': 1.599999998368}}, 'B00BZBQ0ZW': {'asin': 'B00BZBQ0ZW', 'height': {'unit': 'IN', 'value': 6.099999993778}, 'length': {'unit': 'IN', 'value': 12.099999987657998}, 'name': 'Giant Puzz 3D - Empire State Building', 'normalizedName': 'Giant Puzz 3D - Empire State Building', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 1.5}, 'width': {'unit': 'IN', 'value': 9.9999999898}}, 'B01ESRWRUG': {'asin': 'B01ESRWRUG', 'height': {'unit': 'IN', 'value': 0.49999999949}, 'length': {'unit': 'IN', 'value': 16.99999998266}, 'name': 'PASTRY BAG - 100 PIECES - Disposable Cake / Cupcake Decorating Piping Icing Bags Set - Large 16 Inch High Quality and Easy to Grip - For Baking Supplies - by Auntie Sue Bakeware', 'normalizedName': 'PASTRY BAG - 100 PIECES - Disposable Cake / Cupcake Decorating Piping Icing Bags Set - Large 16 Inch High Quality and Easy to Grip - For Baking Supplies - by Auntie Sue Bakeware', 'quantity': 5, 'weight': {'unit': 'pounds', 'value': 0.09999999991614096}, 'width': {'unit': 'IN', 'value': 10.49999998929}}}",7,00093.jpg,B001MKR4Y2
"{'B001MKR4Y2': {'asin': 'B001MKR4Y2', 'height': {'unit': 'IN', 'value': 0.49999999949}, 'length': {'unit': 'IN', 'value': 17.399999982252}, 'name': 'Johnson Rose Wooden Spoon, 18 Inch Long - 1 Each', 'normalizedName': 'Johnson Rose Wooden Spoon, 18 Inch Long - 1 Each', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.09999999991614096}, 'width': {'unit': 'IN', 'value': 1.599999998368}}, 'B01ESRWRUG': {'asin': 'B01ESRWRUG', 'height': {'unit': 'IN', 'value': 0.49999999949}, 'length': {'unit': 'IN', 'value': 16.99999998266}, 'name': 'PASTRY BAG - 100 PIECES - Disposable Cake / Cupcake Decorating Piping Icing Bags Set - Large 16 Inch High Quality and Easy to Grip - For Baking Supplies - by Auntie Sue Bakeware', 'normalizedName': 'PASTRY BAG - 100 PIECES - Disposable Cake / Cupcake Decorating Piping Icing Bags Set - Large 16 Inch High Quality and Easy to Grip - For Baking Supplies - by Auntie Sue Bakeware', 'quantity': 5, 'weight': {'unit': 'pounds', 'value': 0.09999999991614096}, 'width': {'unit': 'IN', 'value': 10.49999998929}}}",6,00094.jpg,B001MKR4Y2
"{'B001MKR4Y2': {'asin': 'B001MKR4Y2', 'height': {'unit': 'IN', 'value': 0.49999999949}, 'length': {'unit': 'IN', 'value': 17.399999982252}, 'name': 'Johnson Rose Wooden Spoon, 18 Inch Long - 1 Each', 'normalizedName': 'Johnson Rose Wooden Spoon, 18 Inch Long - 1 Each', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.09999999991614096}, 'width': {'unit': 'IN', 'value': 1.599999998368}}, 'B01ESRWRUG': {'asin': 'B01ESRWRUG', 'height': {'unit': 'IN', 'value': 0.49999999949}, 'length': {'unit': 'IN', 'value': 16.99999998266}, 'name': 'PASTRY BAG - 100 PIECES - Disposable Cake / Cupcake Decorating Piping Icing Bags Set - Large 16 Inch High Quality and Easy to Grip - For Baking Supplies - by Auntie Sue Bakeware', 'normalizedName': 'PASTRY BAG - 100 PIECES - Disposable Cake / Cupcake Decorating Piping Icing Bags Set - Large 16 Inch High Quality and Easy to Grip - For Baking Supplies - by Auntie Sue Bakeware', 'quantity': 4, 'weight': {'unit': 'pounds', 'value': 0.09999999991614096}, 'width': {'unit': 'IN', 'value': 10.49999998929}}}",5,00095.jpg,B001MKR4Y2
"{'B004Q0PN0W': {'asin': 'B004Q0PN0W', 'height': {'unit': 'IN', 'value': 0.599999999388}, 'length': {'unit': 'IN', 'value': 14.599999985108}, 'name': 'MTD Genuine Parts 21"" Drive Belt for Walk-Behind Mowers & Snow Throwers (fits 2010 & after)', 'normalizedName': 'MTD Genuine Parts 21"" Drive Belt for Walk-Behind Mowers & Snow Throwers (fits 2010 & after)', 'quantity': 4, 'weight': {'unit': 'pounds', 'value': 0.022046001186074866}, 'width': {'unit': 'IN', 'value': 4.399999995512001}}, 'B01E670AOS': {'asin': 'B01E670AOS', 'height': {'unit': 'IN', 'value': 4.9999999949}, 'length': {'unit': 'IN', 'value': 14.9999999847}, 'name': 'Ironwork Kitchen Paper Towel Roll Holder Horse Charlie', 'normalizedName': 'Ironwork Kitchen Paper Towel Roll Holder Horse Charlie', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 1.9999999983228187}, 'width': {'unit': 'IN', 'value': 4.9999999949}}}",5,00117.jpg,B004Q0PN0W
"{'B004Q0PN0W': {'asin': 'B004Q0PN0W', 'height': {'unit': 'IN', 'value': 0.599999999388}, 'length': {'unit': 'IN', 'value': 14.599999985108}, 'name': 'MTD Genuine Parts 21"" Drive Belt for Walk-Behind Mowers & Snow Throwers (fits 2010 & after)', 'normalizedName': 'MTD Genuine Parts 21"" Drive Belt for Walk-Behind Mowers & Snow Throwers (fits 2010 & after)', 'quantity': 3, 'weight': {'unit': 'pounds', 'value': 0.022046001186074866}, 'width': {'unit': 'IN', 'value': 4.399999995512001}}, 'B01E670AOS': {'asin': 'B01E670AOS', 'height': {'unit': 'IN', 'value': 4.9999999949}, 'length': {'unit': 'IN', 'value': 14.9999999847}, 'name': 'Ironwork Kitchen Paper Towel Roll Holder Horse Charlie', 'normalizedName': 'Ironwork Kitchen Paper Towel Roll Holder Horse Charlie', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 1.9999999983228187}, 'width': {'unit': 'IN', 'value': 4.9999999949}}}",4,00118.jpg,B004Q0PN0W
"{'B004Q0PN0W': {'asin': 'B004Q0PN0W', 'height': {'unit': 'IN', 'value': 0.599999999388}, 'length': {'unit': 'IN', 'value': 14.599999985108}, 'name': 'MTD Genuine Parts 21"" Drive Belt for Walk-Behind Mowers & Snow Throwers (fits 2010 & after)', 'normalizedName': 'MTD Genuine Parts 21"" Drive Belt for Walk-Behind Mowers & Snow Throwers (fits 2010 & after)', 'quantity': 3, 'weight': {'unit': 'pounds', 'value': 0.022046001186074866}, 'width': {'unit': 'IN', 'value': 4.399999995512001}}, 'B00NJ008MI': {'asin': 'B00NJ008MI', 'height': {'unit': 'IN', 'value': 1.799999998164}, 'length': {'unit': 'IN', 'value': 12.399999987352}, 'name': 'FRAM CA11500 Rigid Panel Air Filter', 'normalizedName': 'FRAM CA11500 Rigid Panel Air Filter', 'quantity': 2, 'weight': {'unit': 'pounds', 'value': 0.75}, 'width': {'unit': 'IN', 'value': 10.699999989085999}}, 'B01E670AOS': {'asin': 'B01E670AOS', 'height': {'unit': 'IN', 'value': 4.9999999949}, 'length': {'unit': 'IN', 'value': 14.9999999847}, 'name': 'Ironwork Kitchen Paper Towel Roll Holder Horse Charlie', 'normalizedName': 'Ironwork Kitchen Paper Towel Roll Holder Horse Charlie', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 1.9999999983228187}, 'width': {'unit': 'IN', 'value': 4.9999999949}}}",6,00119.jpg,B004Q0PN0W
"{'0756628652': {'asin': '0756628652', 'height': {'unit': 'IN', 'value': 0.99999999898}, 'length': {'unit': 'IN', 'value': 11.899999987862}, 'name': 'The Human Body Book (Book & DVD)', 'normalizedName': 'The Human Body Book (Book & DVD)', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 3.65}, 'width': {'unit': 'IN', 'value': 10.199999989596}}, 'B01D2OY3ZI': {'asin': 'B01D2OY3ZI', 'height': {'unit': 'IN', 'value': 5.299999994594}, 'length': {'unit': 'IN', 'value': 17.399999982252}, 'name': 'kate spade new york Cedar Street Daisy Mini Harmony Tote Bag, Multi, One Size', 'normalizedName': 'kate spade new york Cedar Street Daisy Mini Harmony Tote Bag, Multi, One Size', 'quantity': 2, 'weight': {'unit': 'pounds', 'value': 1.8999999984066773}, 'width': {'unit': 'IN', 'value': 13.599999986128}}}",3,00164.jpg,0756628652
