BIN_FCSKU_DATA,EXPECTED_QUANTITY,filename
"{'B00CXACR1U': {'asin': 'B00CXACR1U', 'height': {'unit': 'IN', 'value': 0.099999999898}, 'length': {'unit': 'IN', 'value': 6.99999999286}, 'name': ""BuyCheapCables® (6 Feet) Ultra Slim 2.2mm OD Toslink Optical Digital Audio Cable (6')"", 'normalizedName': ""BuyCheapCables® (6 Feet) Ultra Slim 2.2mm OD Toslink Optical Digital Audio Cable (6')"", 'quantity': 2, 'weight': {'unit': 'pounds', 'value': 0.022046001186074866}, 'width': {'unit': 'IN', 'value': 6.49999999337}}, 'B00NO56G4M': {'asin': 'B00NO56G4M', 'height': {'unit': 'IN', 'value': 0.899999999082}, 'length': {'unit': 'IN', 'value': 8.99999999082}, 'name': ""St. Louis Cardinals Fans. Don't Be a Dick Red T-Shirt (3XL)"", 'normalizedName': ""St. Louis Cardinals Fans. Don't Be a Dick Red T-Shirt (3XL)"", 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.85}, 'width': {'unit': 'IN', 'value': 7.99999999184}}, 'B012C8GJBG': {'asin': 'B012C8GJBG', 'height': {'unit': 'IN', 'value': 0.5511811018}, 'length': {'unit': 'IN', 'value': 5.905511805}, 'name': 'Galaxy S5 Case Wallet,Mulbess [Layered Dandy][Vintage Series][Black] - [Ultra Slim][Wallet Case] - Leather Flip Cover With Credit Card Slot for Samsung Galaxy S5 SV i9600', 'normalizedName': 'Galaxy S5 Case Wallet,Mulbess [Layered Dandy][Vintage Series][Black] - [Ultra Slim][Wallet Case] - Leather Flip Cover With Credit Card Slot for Samsung Galaxy S5 SV i9600', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.22046001167587295}, 'width': {'unit': 'IN', 'value': 3.3070866108}}, 'B01ATYIK7G': {'asin': 'B01ATYIK7G', 'height': {'unit': 'IN', 'value': 4.0}, 'length': {'unit': 'IN', 'value': 4.0}, 'name': 'Vergiano Super Bright Flexible Dual Head Clip on LED Reading Light - Clamp Lamp Sensitive Eye Care - Rechargeable USB Desk or Table Lamp - Music Stand Light (BLACK)', 'normalizedName': 'Vergiano Super Bright Flexible Dual Head Clip on LED Reading Light - Clamp Lamp Sensitive Eye Care - Rechargeable USB Desk or Table Lamp - Music Stand Light (BLACK)', 'quantity': 3, 'weight': None, 'width': {'unit': 'IN', 'value': 4.0}}}",7,00011.jpg
"{'B0041BT21M': {'asin': 'B0041BT21M', 'height': {'unit': 'IN', 'value': 0.599999999388}, 'length': {'unit': 'IN', 'value': 9.299999990514001}, 'name': '1 X DVI to DVI LCD Monitor Cable 6 Foot', 'normalizedName': '1 X DVI to DVI LCD Monitor Cable 6 Foot', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.29999999974842284}, 'width': {'unit': 'IN', 'value': 3.399999996532}}, 'B0087Y5ONE': {'asin': 'B0087Y5ONE', 'height': {'unit': 'IN', 'value': 3.99999999592}, 'length': {'unit': 'IN', 'value': 11.49999998827}, 'name': ""Nature's Miracle Non-Stick Antimicrobial Scoop & Caddy (P-82036)"", 'normalizedName': ""Nature's Miracle Non-Stick Antimicrobial Scoop & Caddy (P-82036)"", 'quantity': 2, 'weight': {'unit': 'pounds', 'value': 0.022046001186074866}, 'width': {'unit': 'IN', 'value': 6.99999999286}}, 'B00V1VSTAA': {'asin': 'B00V1VSTAA', 'height': {'unit': 'IN', 'value': 0.99999999898}, 'length': {'unit': 'IN', 'value': 6.299999993574}, 'name': 'Foot Angel Anti-Fatigue Compression Foot Sleeve for Plantar Fasciitis Relief, Large/X-Large', 'normalizedName': 'Foot Angel Anti-Fatigue Compression Foot Sleeve for Plantar Fasciitis Relief, Large/X-Large', 'quantity': 5, 'weight': {'unit': 'pounds', 'value': 0.10000000000000002}, 'width': {'unit': 'IN', 'value': 3.99999999592}}}",8,00012.jpg
{},0,00013.jpg
"{'B0123H9HME': {'asin': 'B0123H9HME', 'height': {'unit': 'IN', 'value': 3.49999999643}, 'length': {'unit': 'IN', 'value': 9.599999990208}, 'name': 'Organix Grain Free Lamb & Peas Recipe, 4 lb', 'normalizedName': 'Organix Grain Free Lamb & Peas Recipe, 4 lb', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 4.549999996184413}, 'width': {'unit': 'IN', 'value': 8.099999991737999}}}",1,00014.jpg
"{'B0033UNIQC': {'asin': 'B0033UNIQC', 'height': {'unit': 'IN', 'value': 0.6999999992859999}, 'length': {'unit': 'IN', 'value': 10.49999998929}, 'name': 'Fiskars 8 Inch Premier Softgrip Titanium Straight Scissors (01-004244J)', 'normalizedName': 'Fiskars 8 Inch Premier Softgrip Titanium Straight Scissors (01-004244J)', 'quantity': 14, 'weight': {'unit': 'pounds', 'value': 0.20000000000000004}, 'width': {'unit': 'IN', 'value': 3.99999999592}}, 'B00E9J3MLM': {'asin': 'B00E9J3MLM', 'height': {'unit': 'IN', 'value': 7.299999992554}, 'length': {'unit': 'IN', 'value': 8.799999991024002}, 'name': 'Kitchen Safe: Time Locking Container (White Lid + Clear Base) - 5.5"" Height', 'normalizedName': 'Kitchen Safe: Time Locking Container (White Lid + Clear Base) - 5.5"" Height', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 2.3500000000000005}, 'width': {'unit': 'IN', 'value': 7.699999992146}}}",15,00015.jpg
"{'B0033UNIQC': {'asin': 'B0033UNIQC', 'height': {'unit': 'IN', 'value': 0.6999999992859999}, 'length': {'unit': 'IN', 'value': 10.49999998929}, 'name': 'Fiskars 8 Inch Premier Softgrip Titanium Straight Scissors (01-004244J)', 'normalizedName': 'Fiskars 8 Inch Premier Softgrip Titanium Straight Scissors (01-004244J)', 'quantity': 11, 'weight': {'unit': 'pounds', 'value': 0.20000000000000004}, 'width': {'unit': 'IN', 'value': 3.99999999592}}, 'B00E9J3MLM': {'asin': 'B00E9J3MLM', 'height': {'unit': 'IN', 'value': 7.299999992554}, 'length': {'unit': 'IN', 'value': 8.799999991024002}, 'name': 'Kitchen Safe: Time Locking Container (White Lid + Clear Base) - 5.5"" Height', 'normalizedName': 'Kitchen Safe: Time Locking Container (White Lid + Clear Base) - 5.5"" Height', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 2.3500000000000005}, 'width': {'unit': 'IN', 'value': 7.699999992146}}}",12,00016.jpg
"{'B0033UNIQC': {'asin': 'B0033UNIQC', 'height': {'unit': 'IN', 'value': 0.6999999992859999}, 'length': {'unit': 'IN', 'value': 10.49999998929}, 'name': 'Fiskars 8 Inch Premier Softgrip Titanium Straight Scissors (01-004244J)', 'normalizedName': 'Fiskars 8 Inch Premier Softgrip Titanium Straight Scissors (01-004244J)', 'quantity': 9, 'weight': {'unit': 'pounds', 'value': 0.20000000000000004}, 'width': {'unit': 'IN', 'value': 3.99999999592}}, 'B00E9J3MLM': {'asin': 'B00E9J3MLM', 'height': {'unit': 'IN', 'value': 7.299999992554}, 'length': {'unit': 'IN', 'value': 8.799999991024002}, 'name': 'Kitchen Safe: Time Locking Container (White Lid + Clear Base) - 5.5"" Height', 'normalizedName': 'Kitchen Safe: Time Locking Container (White Lid + Clear Base) - 5.5"" Height', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 2.3500000000000005}, 'width': {'unit': 'IN', 'value': 7.699999992146}}}",10,00017.jpg
"{'0078035198': {'asin': '0078035198', 'height': {'unit': 'IN', 'value': 0.99999999898}, 'length': {'unit': 'IN', 'value': 10.099999989698}, 'name': 'Health Psychology', 'normalizedName': 'Health Psychology', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 2.6}, 'width': {'unit': 'IN', 'value': 8.199999991636}}, '0736433937': {'asin': '0736433937', 'height': {'unit': 'IN', 'value': 0.72834645595}, 'length': {'unit': 'IN', 'value': 8.42913384967}, 'name': ""Lily: Tiana's Helpful Kitten (Disney Princess: Palace Pets) (A Stepping Stone Book(TM))"", 'normalizedName': ""Lily: Tiana's Helpful Kitten (Disney Princess: Palace Pets) (A Stepping Stone Book(TM))"", 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.7900044696508}, 'width': {'unit': 'IN', 'value': 5.85039369482}}, 'B006SA39OU': {'asin': 'B006SA39OU', 'height': {'unit': 'IN', 'value': 3.899999996022}, 'length': {'unit': 'IN', 'value': 9.899999989902}, 'name': 'K9 Granola Factory Grain Free Savory Duck with Apple and Cranberry Crunchers, Net WT. 12 oz', 'normalizedName': 'K9 Granola Factory Grain Free Savory Duck with Apple and Cranberry Crunchers, Net WT. 12 oz', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.8}, 'width': {'unit': 'IN', 'value': 3.899999996022}}, 'B00KVP76G0': {'asin': 'B00KVP76G0', 'height': {'unit': 'IN', 'value': 2.49999999745}, 'length': {'unit': 'IN', 'value': 7.299999992554}, 'name': 'DualShock 4 Wireless Controller for PlayStation 4 - Glacier White', 'normalizedName': 'DualShock 4 Wireless Controller for PlayStation 4 - Glacier White', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.75}, 'width': {'unit': 'IN', 'value': 6.699999993166}}, 'B00YHF3W90': {'asin': 'B00YHF3W90', 'height': {'unit': 'IN', 'value': 0.1968503935}, 'length': {'unit': 'IN', 'value': 3.93700787}, 'name': ""Retro Fashion Pretty Young 2-Pocket Chef's Apron, Light Blue/Elegant Printing"", 'normalizedName': ""Retro Fashion Pretty Young 2-Pocket Chef's Apron, Light Blue/Elegant Printing"", 'quantity': 1, 'weight': None, 'width': {'unit': 'IN', 'value': 2.755905509}}}",5,00018.jpg
"{'0062110500': {'asin': '0062110500', 'height': {'unit': 'IN', 'value': 1.299999998674}, 'length': {'unit': 'IN', 'value': 8.299999991534}, 'name': 'The Wig in the Window', 'normalizedName': 'The Wig in the Window', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 1.05}, 'width': {'unit': 'IN', 'value': 5.299999994594}}, '0590452665': {'asin': '0590452665', 'height': {'unit': 'IN', 'value': 0.399999999592}, 'length': {'unit': 'IN', 'value': 8.49999999133}, 'name': 'The Egg (First Discovery Books)', 'normalizedName': 'The Egg (First Discovery Books)', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.7}, 'width': {'unit': 'IN', 'value': 8.099999991738}}, 'B0040JHNAW': {'asin': 'B0040JHNAW', 'height': {'unit': 'IN', 'value': 1.299999998674}, 'length': {'unit': 'IN', 'value': 6.899999992962}, 'name': 'Fantasia / Fantasia 2000 (Two movie Collection) (Special Edition)', 'normalizedName': 'Fantasia / Fantasia 2000 (Two movie Collection) (Special Edition)', 'quantity': 3, 'weight': {'unit': 'pounds', 'value': 0.3499999999999999}, 'width': {'unit': 'IN', 'value': 5.399999994492}}}",5,00019.jpg
"{'B00JD5453G': {'asin': 'B00JD5453G', 'height': {'unit': 'IN', 'value': 1.599999998368}, 'length': {'unit': 'IN', 'value': 14.699999985006}, 'name': 'TORCHSTAR 14-Inch 110V Hardwired Multi-function LED Cabinet Light, Warm White', 'normalizedName': 'TORCHSTAR 14-Inch 110V Hardwired Multi-function LED Cabinet Light, Warm White', 'quantity': 12, 'weight': {'unit': 'pounds', 'value': 1.0}, 'width': {'unit': 'IN', 'value': 3.99999999592}}, 'B00O35DRI0': {'asin': 'B00O35DRI0', 'height': {'unit': 'IN', 'value': 3.49999999643}, 'length': {'unit': 'IN', 'value': 10.49999998929}, 'name': 'Mellanni Bed Sheet Set - HIGHEST QUALITY Brushed Microfiber 1800 Bedding - Wrinkle, Fade, Stain Resistant - Hypoallergenic - 4 Piece (Cal King, Mocha)', 'normalizedName': 'Mellanni Bed Sheet Set - HIGHEST QUALITY Brushed Microfiber 1800 Bedding - Wrinkle, Fade, Stain Resistant - Hypoallergenic - 4 Piece (Cal King, Mocha)', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 3.4}, 'width': {'unit': 'IN', 'value': 9.799999990004002}}, 'B014ED82A8': {'asin': 'B014ED82A8', 'height': {'unit': 'IN', 'value': 2.8346456664}, 'length': {'unit': 'IN', 'value': 8.3464566844}, 'name': '(2 Pack) Pantene Pro-V Shampoo, Damage Detox with Mosa Mint Oil, 12.6 Oz. ea.', 'normalizedName': '(2 Pack)  Pantene Pro-V Shampoo, Damage Detox with Mosa Mint Oil, 12.6 Oz. ea.', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 1.949999998364748}, 'width': {'unit': 'IN', 'value': 3.7795275552}}}",14,00020.jpg
"{'B00JD5453G': {'asin': 'B00JD5453G', 'height': {'unit': 'IN', 'value': 1.599999998368}, 'length': {'unit': 'IN', 'value': 14.699999985006}, 'name': 'TORCHSTAR 14-Inch 110V Hardwired Multi-function LED Cabinet Light, Warm White', 'normalizedName': 'TORCHSTAR 14-Inch 110V Hardwired Multi-function LED Cabinet Light, Warm White', 'quantity': 12, 'weight': {'unit': 'pounds', 'value': 1.0}, 'width': {'unit': 'IN', 'value': 3.99999999592}}, 'B00O35DRI0': {'asin': 'B00O35DRI0', 'height': {'unit': 'IN', 'value': 3.49999999643}, 'length': {'unit': 'IN', 'value': 10.49999998929}, 'name': 'Mellanni Bed Sheet Set - HIGHEST QUALITY Brushed Microfiber 1800 Bedding - Wrinkle, Fade, Stain Resistant - Hypoallergenic - 4 Piece (Cal King, Mocha)', 'normalizedName': 'Mellanni Bed Sheet Set - HIGHEST QUALITY Brushed Microfiber 1800 Bedding - Wrinkle, Fade, Stain Resistant - Hypoallergenic - 4 Piece (Cal King, Mocha)', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 3.4}, 'width': {'unit': 'IN', 'value': 9.799999990004002}}, 'B00T63MY1U': {'asin': 'B00T63MY1U', 'height': {'unit': 'IN', 'value': 0.6999999992859999}, 'length': {'unit': 'IN', 'value': 12.99999998674}, 'name': 'Choopie CityGrips Single Bar Grip Handle Covers for Stroller/Pram/Buggy Handlebars, Silly Raccoon, Large', 'normalizedName': 'Choopie CityGrips Single Bar Grip Handle Covers for Stroller/Pram/Buggy Handlebars, Silly Raccoon, Large', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.022046001186074866}, 'width': {'unit': 'IN', 'value': 6.299999993574}}, 'B014ED82A8': {'asin': 'B014ED82A8', 'height': {'unit': 'IN', 'value': 2.8346456664}, 'length': {'unit': 'IN', 'value': 8.3464566844}, 'name': '(2 Pack) Pantene Pro-V Shampoo, Damage Detox with Mosa Mint Oil, 12.6 Oz. ea.', 'normalizedName': '(2 Pack)  Pantene Pro-V Shampoo, Damage Detox with Mosa Mint Oil, 12.6 Oz. ea.', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 1.949999998364748}, 'width': {'unit': 'IN', 'value': 3.7795275552}}}",15,00021.jpg
"{'B001F2GDO4': {'asin': 'B001F2GDO4', 'height': {'unit': 'IN', 'value': 4.49999999541}, 'length': {'unit': 'IN', 'value': 11.399999988372}, 'name': 'Rachael Ray Nutrish Natural Dry Dog Food, Beef and Brown Rice Recipe, 6 lbs', 'normalizedName': 'Rachael Ray Nutrish Natural Dry Dog Food, Beef and Brown Rice Recipe, 6 lbs', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 6.85}, 'width': {'unit': 'IN', 'value': 9.699999990106}}, 'B00JPVZ2IA': {'asin': 'B00JPVZ2IA', 'height': {'unit': 'IN', 'value': 2.99999999694}, 'length': {'unit': 'IN', 'value': 5.99999999388}, 'name': ""Women's Black Studded Fashion Fanny or Waist Pack - fits up to 42 inch waist"", 'normalizedName': ""Women's Black Studded Fashion Fanny or Waist Pack - fits up to 42 inch waist"", 'quantity': 2, 'weight': {'unit': 'pounds', 'value': 0.8000000000000002}, 'width': {'unit': 'IN', 'value': 5.699999994186001}}, 'B00WW4FD3Q': {'asin': 'B00WW4FD3Q', 'height': {'unit': 'IN', 'value': 3.3858267682}, 'length': {'unit': 'IN', 'value': 11.8897637674}, 'name': 'Bandai Hobby HGBF Dom R35 ""Gundam Build Fighters"" Model Kit (1/144 Scale)', 'normalizedName': 'Bandai Hobby HGBF Dom R35 ""Gundam Build Fighters"" Model Kit (1/144 Scale)', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.8377480450708449}, 'width': {'unit': 'IN', 'value': 7.7165354252}}, 'B01GMVAN4S': {'asin': 'B01GMVAN4S', 'height': {'unit': 'IN', 'value': 2.299999997654}, 'length': {'unit': 'IN', 'value': 15.399999984292}, 'name': 'Elikeable Modern 3D Frameless Large Wall Clock Style Watches Hours DIY Room Home Decorations (Black1)', 'normalizedName': 'Elikeable Modern 3D Frameless Large Wall Clock Style Watches Hours DIY Room Home Decorations (Black1)', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.7499999993710571}, 'width': {'unit': 'IN', 'value': 4.9999999949}}}",5,00022.jpg
